"","educ","mens_act","mens_sim","womens_act","womens_sim","mens_diff","womens_dff"
"1",0,0.00507352486233423,5.34559255893516e-06,0.00384462151394422,0,0.0050681792697753,0.00384462151394422
"2",1,0.00175304720853012,3.20735553536109e-05,0.00107569721115538,2.66828186662326e-05,0.00172097365317651,0.00104901439248915
"3",2,0.00391857611318498,9.62206660608328e-05,0.00266932270916335,9.07215834651909e-05,0.00382235544712414,0.00257860112569816
"4",3,0.00820838575288222,0.00049714010798097,0.00456175298804781,0.000477622454125564,0.00771124564490125,0.00408413053392225
"5",4,0.0150555819085528,0.0016731704709467,0.0104980079681275,0.0016863541397059,0.0133824114376061,0.00881165382842159
"6",5,0.020129106770887,0.00708291014058908,0.0147410358565737,0.00643322758042869,0.013046196630298,0.00830780827614502
"7",6,0.0340091158454844,0.0192975891377559,0.0292629482071713,0.0181656629479712,0.0147115267077284,0.0110972852592001
"8",7,0.0576236929486254,0.0433821564120383,0.0512749003984064,0.0400402376905487,0.0142415365365871,0.0112346627078577
"9",8,0.200589848825458,0.205848078259475,0.186613545816733,0.158866834056882,-0.00525822943401669,0.0277467117598506
"10",9,0.0725967785179533,0.101977869246806,0.0770318725099602,0.106437763659602,-0.0293810907288527,-0.0294058911496418
"11",10,0.0929321261369027,0.110969155930935,0.0941832669322709,0.1209238659135,-0.0180370297940323,-0.0267405989812287
"12",11,0.0633984366943717,0.108093227134228,0.0614741035856574,0.123263949110528,-0.0446947904398561,-0.0617898455248709
"13",12,0.274877802297523,0.252164964986369,0.331474103585657,0.300565942583911,0.0227128373111543,0.0309081610017466
"14",13,0.0272856641986512,0.0247581119367082,0.0307171314741036,0.0235395826273504,0.002527552261943,0.00717754884675316
"15",14,0.0329572875203663,0.0252071417116587,0.0343227091633466,0.0239024689612112,0.00775014580870755,0.0104202402021354
"16",15,0.0169529977107266,0.0219944405837387,0.0154183266932271,0.0233474663329535,-0.00504144287301212,-0.00792913963972646
"17",16,0.0726380266875657,0.0769204041267975,0.0508366533864542,0.0522316175391504,-0.00428237743923172,-0.00139496415269618
